datetime,site_no,00010_Maximum,00010_Maximum_cd,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,00095_Maximum,00095_Maximum_cd,00095_Minimum,00095_Minimum_cd,00095_Mean,00095_Mean_cd,00300_Maximum,00300_Maximum_cd,00300_Minimum,00300_Minimum_cd,00300_Mean,00300_Mean_cd,00400_Maximum,00400_Maximum_cd,00400_Minimum,00400_Minimum_cd,00400_Median,00400_Median_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Median,63680_Median_cd
2007-01-01 00:00:00+00:00,14211010,4.5,A,4.0,A,4.2,A,4510.0,A,43.0,A,42.0,A,42.0,A,14.0,A,13.5,A,13.7,A,7.4,A,7.3,A,7.4,A,5.3,A,2.7,A,3.9,A
2007-01-02 00:00:00+00:00,14211010,6.2,A,4.5,A,5.3,A,4500.0,A,44.0,A,43.0,A,43.0,A,13.5,A,12.8,A,13.3,A,7.4,A,7.4,A,7.4,A,62.0,A,2.5,A,3.7,A
2007-01-03 00:00:00+00:00,14211010,6.7,A,6.0,A,6.4,A,21800.0,A,45.0,A,32.0,A,40.0,A,13.7,A,12.6,A,13.1,A,7.4,A,7.3,A,7.3,A,101.0,A,55.0,A,78.5,A
2007-01-04 00:00:00+00:00,14211010,6.6,A,5.7,A,6.2,A,20900.0,A,34.0,A,31.0,A,32.0,A,13.7,A,13.1,A,13.2,A,7.3,A,7.2,A,7.2,A,84.0,A,31.0,A,61.0,A
2007-01-05 00:00:00+00:00,14211010,5.7,A,5.4,A,5.5,A,12700.0,A,37.0,A,34.0,A,35.0,A,13.7,A,13.3,A,13.4,A,7.3,A,7.3,A,7.3,A,39.0,A,15.0,A,23.0,A
2007-01-06 00:00:00+00:00,14211010,5.8,A,5.4,A,5.6,A,11100.0,A,39.0,A,37.0,A,38.0,A,13.5,A,13.2,A,13.3,A,7.3,A,7.3,A,7.3,A,29.0,A,9.8,A,18.0,A
2007-01-07 00:00:00+00:00,14211010,6.3,A,5.7,A,6.0,A,9100.0,A,39.0,A,39.0,A,39.0,A,13.6,A,13.1,A,13.2,A,7.4,A,7.3,A,7.3,A,15.0,A,8.7,A,10.0,A
2007-01-08 00:00:00+00:00,14211010,6.5,A,6.1,A,6.3,A,9380.0,A,40.0,A,39.0,A,39.0,A,13.3,A,13.0,A,13.1,A,7.4,A,7.3,A,7.4,A,12.0,A,6.1,A,7.9,A
2007-01-09 00:00:00+00:00,14211010,6.6,A,6.4,A,6.5,A,8980.0,A,40.0,A,39.0,A,40.0,A,13.0,A,12.8,A,12.9,A,7.4,A,7.3,A,7.4,A,41.0,A,5.7,A,7.3,A
2007-01-10 00:00:00+00:00,14211010,6.4,A,5.4,A,5.9,A,8560.0,A,39.0,A,39.0,A,39.0,A,13.2,A,12.7,A,12.9,A,7.4,A,7.4,A,7.4,A,20.0,A,5.1,A,8.1,A
2007-01-11 00:00:00+00:00,14211010,5.4,A,4.4,A,5.1,A,6970.0,A,39.0,A,39.0,A,39.0,A,13.5,A,13.0,A,13.2,A,7.4,A,7.4,A,7.4,A,7.9,A,4.3,A,6.1,A
2007-01-12 00:00:00+00:00,14211010,4.4,A,3.0,A,3.7,A,5740.0,A,40.0,A,39.0,A,40.0,A,14.1,A,13.5,A,13.9,A,7.4,A,7.4,A,7.4,A,6.3,A,2.8,A,4.1,A
2007-01-13 00:00:00+00:00,14211010,3.1,A,2.5,A,2.8,A,4910.0,A,42.0,A,40.0,A,41.0,A,14.6,A,14.1,A,14.2,A,7.4,A,7.4,A,7.4,A,7.3,A,2.2,A,3.2,A
2007-01-14 00:00:00+00:00,14211010,2.5,A,1.8,A,2.1,A,4340.0,A,42.0,A,42.0,A,42.0,A,14.8,A,14.3,A,14.6,A,7.4,A,7.4,A,7.4,A,3.5,A,1.7,A,2.3,A
2007-01-15 00:00:00+00:00,14211010,2.2,A,1.4,A,1.7,A,3850.0,A,43.0,A,42.0,A,43.0,A,15.0,A,14.6,A,14.7,A,7.4,A,7.4,A,7.4,A,2.9,A,1.3,A,1.9,A
2007-01-16 00:00:00+00:00,14211010,2.0,A,1.4,A,1.7,A,3580.0,A,44.0,A,43.0,A,44.0,A,14.9,A,14.6,A,14.7,A,7.4,A,7.4,A,7.4,A,2.2,A,1.0,A,1.4,A
2007-01-17 00:00:00+00:00,14211010,2.6,A,2.0,A,2.2,A,3310.0,A,45.0,A,44.0,A,44.0,A,14.7,A,14.5,A,14.6,A,7.4,A,7.4,A,7.4,A,2.2,A,0.9,A,1.3,A
2007-01-18 00:00:00+00:00,14211010,3.1,A,2.3,A,2.6,A,3100.0,A,46.0,A,45.0,A,45.0,A,14.5,A,14.2,A,14.4,A,7.5,A,7.4,A,7.4,A,2.7,A,0.8,A,1.2,A
2007-01-19 00:00:00+00:00,14211010,3.7,A,2.7,A,3.1,A,2990.0,A,47.0,A,46.0,A,46.0,A,14.2,A,13.8,A,14.1,A,7.5,A,7.4,A,7.4,A,2.2,A,0.8,A,1.2,A
2007-01-20 00:00:00+00:00,14211010,4.2,A,3.4,A,3.7,A,3170.0,A,47.0,A,46.0,A,47.0,A,14.0,A,13.8,A,13.9,A,7.5,A,7.4,A,7.5,A,5.7,A,1.2,A,2.5,A
2007-01-21 00:00:00+00:00,14211010,4.3,A,3.4,A,3.8,A,2910.0,A,47.0,A,47.0,A,47.0,A,14.0,A,13.7,A,13.9,A,7.5,A,7.4,A,7.5,A,3.7,A,0.7,A,1.1,A
2007-01-22 00:00:00+00:00,14211010,5.1,A,4.1,A,4.5,A,2790.0,A,48.0,A,47.0,A,47.0,A,13.7,A,13.5,A,13.6,A,7.5,A,7.4,A,7.5,A,4.2,A,0.4,A,0.8,A
2007-01-23 00:00:00+00:00,14211010,4.8,A,4.0,A,4.4,A,2740.0,A,48.0,A,47.0,A,48.0,A,13.8,A,13.4,A,13.6,A,7.5,A,7.4,A,7.5,A,4.9,A,0.4,A,0.8,A
2007-01-24 00:00:00+00:00,14211010,4.6,A,3.5,A,4.0,A,2660.0,A,48.0,A,47.0,A,48.0,A,13.8,A,13.2,A,13.5,A,7.5,A,7.4,A,7.5,A,1.5,A,0.3,A,0.6,A
2007-01-25 00:00:00+00:00,14211010,4.3,A,3.6,A,3.9,A,2630.0,A,48.0,A,48.0,A,48.0,A,13.7,A,13.3,A,13.5,A,7.6,A,7.5,A,7.5,A,3.0,A,0.2,A,0.6,A
2007-01-26 00:00:00+00:00,14211010,5.0,A,3.8,A,4.4,A,2560.0,A,49.0,A,48.0,A,48.0,A,13.5,A,13.0,A,13.3,A,7.6,A,7.5,A,7.5,A,2.4,A,0.2,A,0.5,A
2007-01-27 00:00:00+00:00,14211010,4.5,A,3.4,A,4.0,A,2450.0,A,49.0,A,48.0,A,49.0,A,13.6,A,13.1,A,13.4,A,7.6,A,7.5,A,7.5,A,2.0,A,0.1,A,0.3,A
2007-01-28 00:00:00+00:00,14211010,4.2,A,3.0,A,3.6,A,2380.0,A,50.0,A,49.0,A,49.0,A,13.8,A,13.2,A,13.5,A,7.6,A,7.5,A,7.6,A,1.3,A,0.1,A,0.2,A
2007-01-29 00:00:00+00:00,14211010,4.0,A,2.6,A,3.3,A,2310.0,A,51.0,A,48.0,A,49.0,A,,,,,,,7.6,A,7.5,A,7.5,A,0.7,A,0.0,A,0.2,A
2007-01-30 00:00:00+00:00,14211010,3.8,A,2.5,A,3.2,A,2260.0,A,50.0,A,49.0,A,49.0,A,13.4,A,12.8,A,13.1,A,7.7,A,7.5,A,7.6,A,0.3,A,0.0,A,0.0,A
2007-01-31 00:00:00+00:00,14211010,3.6,A,2.4,A,3.0,A,2190.0,A,50.0,A,49.0,A,50.0,A,13.5,A,12.8,A,13.2,A,7.7,A,7.5,A,7.6,A,0.3,A,0.0,A,0.1,A
2007-02-01 00:00:00+00:00,14211010,3.4,A,1.9,A,2.7,A,2140.0,A,50.0,A,50.0,A,50.0,A,13.7,A,13.0,A,13.3,A,7.7,A,7.5,A,7.6,A,0.5,A,0.0,A,0.1,A
2007-02-02 00:00:00+00:00,14211010,3.4,A,1.9,A,2.6,A,2080.0,A,51.0,A,50.0,A,51.0,A,13.8,A,13.0,A,13.4,A,7.8,A,7.6,A,7.6,A,0.2,A,0.0,A,0.0,A
2007-02-03 00:00:00+00:00,14211010,3.2,A,2.0,A,2.6,A,2050.0,A,51.0,A,50.0,A,51.0,A,13.8,A,13.1,A,13.4,A,7.7,A,7.5,A,7.6,A,0.2,A,0.0,A,0.0,A
2007-02-04 00:00:00+00:00,14211010,4.4,A,3.0,A,3.6,A,2030.0,A,51.0,A,50.0,A,51.0,A,13.6,A,12.7,A,13.2,A,7.8,A,7.5,A,7.6,A,0.2,A,0.0,A,0.0,A
2007-02-05 00:00:00+00:00,14211010,4.4,A,3.0,A,3.7,A,2090.0,A,51.0,A,50.0,A,51.0,A,13.6,A,12.7,A,13.1,A,7.8,A,7.5,A,7.6,A,0.8,A,0.0,A,0.0,A
2007-02-06 00:00:00+00:00,14211010,4.8,A,3.3,A,4.0,A,2240.0,A,51.0,A,50.0,A,51.0,A,13.4,A,12.5,A,12.9,A,7.9,A,7.5,A,7.6,A,0.3,A,0.0,A,0.0,A
2007-02-07 00:00:00+00:00,14211010,4.7,A,3.9,A,4.3,A,2390.0,A,51.0,A,51.0,A,51.0,A,13.2,A,12.4,A,12.7,A,7.9,A,7.6,A,7.7,A,0.3,A,0.0,A,0.0,A
2007-02-08 00:00:00+00:00,14211010,5.6,A,4.4,A,4.9,A,2500.0,A,51.0,A,50.0,A,51.0,A,13.2,A,12.1,A,12.6,A,8.0,A,7.6,A,7.7,A,0.6,A,0.1,A,0.1,A
2007-02-09 00:00:00+00:00,14211010,6.4,A,5.0,A,5.6,A,2690.0,A,51.0,A,49.0,A,50.0,A,13.0,A,12.0,A,12.3,A,8.2,A,7.6,A,7.7,A,2.5,A,0.1,A,0.8,A
2007-02-10 00:00:00+00:00,14211010,5.9,A,5.0,A,5.4,A,2740.0,A,50.0,A,48.0,A,49.0,A,12.8,A,11.8,A,12.2,A,8.0,A,7.6,A,7.7,A,1.0,A,0.3,A,0.5,A
2007-02-11 00:00:00+00:00,14211010,6.4,A,5.5,A,5.9,A,2840.0,A,53.0,A,48.0,A,49.0,A,12.7,A,11.8,A,12.1,A,8.1,A,7.6,A,7.7,A,3.0,A,0.4,A,1.5,A
2007-02-12 00:00:00+00:00,14211010,6.6,A,5.6,A,6.0,A,3020.0,A,49.0,A,47.0,A,48.0,A,13.0,A,11.8,A,12.2,A,8.3,A,7.6,A,7.7,A,1.3,A,0.7,A,0.9,A
2007-02-13 00:00:00+00:00,14211010,6.1,A,5.2,A,5.6,A,2840.0,A,48.0,A,46.0,A,47.0,A,13.1,A,11.9,A,12.4,A,8.3,A,7.5,A,7.6,A,6.5,A,0.4,A,0.7,A
2007-02-14 00:00:00+00:00,14211010,5.9,A,5.2,A,5.5,A,2700.0,A,47.0,A,46.0,A,46.0,A,13.2,A,12.0,A,12.4,A,8.1,A,7.5,A,7.6,A,3.9,A,0.5,A,0.7,A
2007-02-15 00:00:00+00:00,14211010,6.6,A,5.7,A,6.1,A,5000.0,A,46.0,A,43.0,A,45.0,A,12.4,A,11.8,A,12.1,A,7.7,A,7.5,A,7.6,A,34.0,A,1.0,A,4.0,A
2007-02-16 00:00:00+00:00,14211010,6.7,A,5.9,A,6.3,A,16700.0,A,43.0,A,32.0,A,38.0,A,12.7,A,12.1,A,12.4,A,7.6,A,7.4,A,7.5,A,38.0,A,13.0,A,24.0,A
2007-02-17 00:00:00+00:00,14211010,7.3,A,6.4,A,6.8,A,12700.0,A,33.0,A,31.0,A,32.0,A,12.4,A,12.0,A,12.2,A,7.4,A,7.4,A,7.4,A,31.0,A,10.0,A,18.0,A
2007-02-18 00:00:00+00:00,14211010,7.0,A,6.4,A,6.7,A,9140.0,A,34.0,A,33.0,A,33.0,A,12.1,A,11.9,A,12.0,A,7.5,A,7.4,A,7.4,A,12.0,A,5.6,A,9.1,A
2007-02-19 00:00:00+00:00,14211010,6.8,A,6.3,A,6.5,A,7160.0,A,36.0,A,34.0,A,35.0,A,12.2,A,11.9,A,12.1,A,7.6,A,7.4,A,7.5,A,8.5,A,3.7,A,5.0,A
2007-02-20 00:00:00+00:00,14211010,6.4,A,5.7,A,6.2,A,7310.0,A,38.0,A,36.0,A,37.0,A,12.2,A,11.9,A,12.0,A,7.6,A,7.4,A,7.5,A,14.0,A,3.4,A,8.8,A
2007-02-21 00:00:00+00:00,14211010,6.3,A,5.4,A,5.8,A,7120.0,A,40.0,A,38.0,A,38.0,A,12.5,A,12.0,A,12.2,A,7.6,A,7.4,A,7.5,A,8.0,A,3.3,A,4.7,A
2007-02-22 00:00:00+00:00,14211010,6.1,A,5.2,A,5.7,A,6160.0,A,40.0,A,38.0,A,39.0,A,12.4,A,12.0,A,12.2,A,7.6,A,7.4,A,7.5,A,8.3,A,3.9,A,6.0,A
2007-02-23 00:00:00+00:00,14211010,5.9,A,5.0,A,5.3,A,5340.0,A,41.0,A,40.0,A,40.0,A,12.6,A,12.3,A,12.4,A,7.6,A,7.4,A,7.5,A,5.6,A,3.0,A,4.2,A
2007-02-24 00:00:00+00:00,14211010,5.8,A,5.2,A,5.4,A,5580.0,A,42.0,A,41.0,A,41.0,A,12.3,A,12.1,A,12.3,A,7.5,A,7.5,A,7.5,A,24.0,A,2.6,A,8.8,A
2007-02-25 00:00:00+00:00,14211010,6.2,A,5.5,A,5.7,A,6390.0,A,43.0,A,42.0,A,42.0,A,12.4,A,12.1,A,12.2,A,7.6,A,7.5,A,7.5,A,13.0,A,4.6,A,6.7,A
2007-02-26 00:00:00+00:00,14211010,5.9,A,5.0,A,5.4,A,5690.0,A,43.0,A,43.0,A,43.0,A,12.6,A,12.2,A,12.4,A,7.6,A,7.5,A,7.5,A,5.6,A,3.3,A,4.3,A
2007-02-27 00:00:00+00:00,14211010,5.6,A,4.8,A,5.1,A,4920.0,A,44.0,A,43.0,A,43.0,A,12.6,A,12.2,A,12.4,A,7.6,A,7.5,A,7.5,A,9.5,A,3.1,A,3.7,A
2007-02-28 00:00:00+00:00,14211010,5.8,A,4.9,A,5.2,A,4390.0,A,44.0,A,44.0,A,44.0,A,12.7,A,12.2,A,12.5,A,7.6,A,7.5,A,7.5,A,7.1,A,3.0,A,3.9,A
2007-03-01 00:00:00+00:00,14211010,5.5,A,4.7,A,5.1,A,4040.0,A,45.0,A,44.0,A,45.0,A,12.9,A,12.5,A,12.7,A,7.7,A,7.5,A,7.5,A,4.8,A,2.3,A,2.7,A
2007-03-02 00:00:00+00:00,14211010,5.6,A,5.0,A,5.3,A,4110.0,A,46.0,A,45.0,A,45.0,A,12.9,A,12.5,A,12.7,A,7.6,A,7.4,A,7.5,A,13.0,A,2.5,A,3.5,A
2007-03-03 00:00:00+00:00,14211010,6.6,A,5.4,A,5.8,A,5880.0,A,46.0,A,45.0,A,46.0,A,12.9,A,12.5,A,12.7,A,7.6,A,7.4,A,7.4,A,16.0,A,4.1,A,7.1,A
2007-03-04 00:00:00+00:00,14211010,6.6,A,5.1,A,5.8,A,6120.0,A,47.0,A,44.0,A,45.0,A,12.9,A,12.4,A,12.7,A,7.6,A,7.4,A,7.4,A,5.0,A,2.6,A,3.3,A
2007-03-05 00:00:00+00:00,14211010,7.6,A,6.0,A,6.6,A,5880.0,A,44.0,A,43.0,A,43.0,A,12.7,A,12.2,A,12.4,A,7.6,A,7.4,A,7.4,A,4.4,A,2.7,A,3.3,A
